Region,School,Student Number,Class Year,Highest Composite,Highest English,Highest Mathematics,Highest Reading,Highest Science,Number Exams Taken
South Region,IDEA College Prep South 1,10000,2024,29,32,29,32,31,5
South Region,IDEA College Prep South 1,10001,2024,19,19,20,19,20,5
South Region,IDEA College Prep South 1,10002,2024,14,14,16,15,17,5
South Region,IDEA College Prep South 1,10003,2024,22,22,20,23,24,2
South Region,IDEA College Prep South 1,10004,2024,13,12,15,14,15,4
South Region,IDEA College Prep South 1,10005,2024,13,11,15,12,15,3
South Region,IDEA College Prep South 1,10006,2024,22,24,22,21,21,5
South Region,IDEA College Prep South 1,10007,2024,24,25,27,23,25,5
South Region,IDEA College Prep South 1,10008,2024,23,23,24,26,24,5
South Region,IDEA College Prep South 1,10009,2024,20,23,19,19,21,4
South Region,IDEA College Prep South 1,10010,2024,20,23,20,17,22,2
South Region,IDEA College Prep South 1,10011,2024,14,15,15,14,16,5
South Region,IDEA College Prep South 1,10012,2024,15,16,14,16,18,4
South Region,IDEA College Prep South 1,10013,2024,16,15,15,19,18,4
South Region,IDEA College Prep South 1,10014,2024,27,29,31,29,32,5
South Region,IDEA College Prep South 1,10015,2024,16,14,16,20,18,5
South Region,IDEA College Prep South 1,10016,2024,17,21,18,20,18,5
South Region,IDEA College Prep South 1,10017,2024,17,15,17,16,20,5
South Region,IDEA College Prep South 1,10018,2024,20,21,23,18,23,5
South Region,IDEA College Prep South 1,10019,2024,20,22,18,19,21,5
South Region,IDEA College Prep South 1,10020,2024,20,20,19,20,23,4
South Region,IDEA College Prep South 1,10021,2024,20,22,17,20,22,4
South Region,IDEA College Prep South 1,10022,2024,15,14,15,13,16,2
South Region,IDEA College Prep South 1,10023,2024,24,25,22,29,27,5
South Region,IDEA College Prep South 1,10024,2024,13,12,15,15,18,3
South Region,IDEA College Prep South 1,10025,2024,25,28,27,24,26,5
South Region,IDEA College Prep South 1,10026,2024,22,24,17,30,22,5
South Region,IDEA College Prep South 1,10027,2024,13,14,15,12,15,5
South Region,IDEA College Prep South 1,10028,2024,20,19,15,27,20,3
South Region,IDEA College Prep South 1,10029,2024,26,25,24,30,29,5
South Region,IDEA College Prep South 1,10030,2024,18,17,17,18,21,4
South Region,IDEA College Prep South 1,10031,2024,15,11,18,20,16,2
South Region,IDEA College Prep South 1,10032,2024,19,16,25,16,23,5
South Region,IDEA College Prep South 1,10033,2024,18,14,24,16,19,2
South Region,IDEA College Prep South 1,10034,2024,21,20,16,26,23,5
South Region,IDEA College Prep South 1,10035,2024,16,20,16,14,16,2
South Region,IDEA College Prep South 1,10036,2024,28,27,31,32,30,5
South Region,IDEA College Prep South 1,10037,2024,14,11,15,17,16,5
South Region,IDEA College Prep South 1,10038,2024,28,33,29,27,25,5
South Region,IDEA College Prep South 1,10039,2024,17,16,18,16,19,4
South Region,IDEA College Prep South 1,10040,2024,19,17,22,20,22,4
South Region,IDEA College Prep South 1,10041,2024,15,15,16,17,19,4
South Region,IDEA College Prep South 1,10042,2024,23,24,23,23,25,5
South Region,IDEA College Prep South 1,10043,2024,22,17,24,23,23,5
South Region,IDEA College Prep South 1,10044,2024,17,15,16,16,22,4
South Region,IDEA College Prep South 1,10045,2024,16,15,16,20,17,5
South Region,IDEA College Prep South 2,10046,2024,19,18,16,20,22,4
South Region,IDEA College Prep South 2,10047,2024,15,15,16,17,16,4
South Region,IDEA College Prep South 2,10048,2024,31,35,30,33,29,7
South Region,IDEA College Prep South 2,10049,2024,23,25,21,25,24,5
South Region,IDEA College Prep South 2,10050,2024,17,15,20,16,21,6
South Region,IDEA College Prep South 2,10051,2024,21,24,20,24,23,7
South Region,IDEA College Prep South 2,10052,2024,21,21,22,21,20,6
South Region,IDEA College Prep South 2,10053,2024,19,20,17,22,21,6
South Region,IDEA College Prep South 2,10054,2024,21,19,21,26,22,4
South Region,IDEA College Prep South 2,10055,2024,21,20,20,22,22,5
South Region,IDEA College Prep South 2,10056,2024,20,16,22,19,22,6
South Region,IDEA College Prep South 2,10057,2024,15,15,16,15,17,5
South Region,IDEA College Prep South 2,10058,2024,19,15,22,18,21,5
South Region,IDEA College Prep South 2,10059,2024,16,19,18,15,18,6
South Region,IDEA College Prep South 2,10060,2024,18,20,16,20,18,5
South Region,IDEA College Prep South 2,10061,2024,16,12,15,12,23,2
South Region,IDEA College Prep South 2,10062,2024,16,15,18,17,19,5
South Region,IDEA College Prep South 2,10063,2024,15,16,15,15,16,5
South Region,IDEA College Prep South 2,10064,2024,18,18,16,19,18,6
South Region,IDEA College Prep South 2,10065,2024,24,28,23,28,25,5
South Region,IDEA College Prep South 2,10066,2024,17,15,16,19,21,5
South Region,IDEA College Prep South 2,10067,2024,21,21,21,23,20,6
South Region,IDEA College Prep South 2,10068,2024,28,29,28,32,25,5
South Region,IDEA College Prep South 2,10069,2024,15,14,17,15,16,4
South Region,IDEA College Prep South 2,10070,2024,17,17,16,20,18,6
South Region,IDEA College Prep South 2,10071,2024,16,14,17,14,19,4
South Region,IDEA College Prep South 2,10072,2024,20,22,23,20,20,6
South Region,IDEA College Prep South 2,10073,2024,14,11,16,17,17,5
South Region,IDEA College Prep South 2,10074,2024,22,26,23,21,24,6
South Region,IDEA College Prep South 2,10075,2024,21,20,21,22,22,6
South Region,IDEA College Prep South 2,10076,2024,22,25,17,26,20,5
South Region,IDEA College Prep South 2,10077,2024,25,28,26,26,25,5
South Region,IDEA College Prep South 2,10078,2024,20,19,22,24,21,5
South Region,IDEA College Prep South 2,10079,2024,15,14,15,16,15,5
South Region,IDEA College Prep South 2,10080,2024,19,20,21,15,21,2
South Region,IDEA College Prep South 2,10081,2024,25,27,26,23,25,6
South Region,IDEA College Prep South 2,10082,2024,15,12,17,18,19,5
South Region,IDEA College Prep South 2,10083,2024,18,18,16,19,19,6
South Region,IDEA College Prep South 2,10084,2024,25,24,24,29,24,6
South Region,IDEA College Prep South 2,10085,2024,18,16,21,18,21,5
South Region,IDEA College Prep South 2,10086,2024,20,22,24,19,24,5
South Region,IDEA College Prep South 2,10087,2024,18,18,18,20,20,5
South Region,IDEA College Prep South 2,10088,2024,19,17,20,19,20,5
South Region,IDEA College Prep South 2,10089,2024,16,14,16,18,19,4
South Region,IDEA College Prep South 2,10090,2024,20,23,23,22,18,5
South Region,IDEA College Prep South 2,10091,2024,14,13,17,14,16,5
South Region,IDEA College Prep South 2,10092,2024,19,21,18,20,19,5
South Region,IDEA College Prep South 2,10093,2024,21,24,22,23,20,5
South Region,IDEA College Prep South 2,10094,2024,23,25,26,26,24,7
South Region,IDEA College Prep South 2,10095,2024,18,17,19,18,18,4
South Region,IDEA College Prep South 2,10096,2024,18,15,17,18,21,1
South Region,IDEA College Prep South 2,10097,2024,33,35,32,35,32,7
South Region,IDEA College Prep South 2,10098,2024,18,19,20,19,22,5
South Region,IDEA College Prep South 2,10099,2024,27,26,26,33,29,5
South Region,IDEA College Prep South 2,10100,2024,18,19,18,20,21,5
South Region,IDEA College Prep South 2,10101,2024,20,21,19,23,22,6
South Region,IDEA College Prep South 2,10102,2024,16,14,16,17,17,5
South Region,IDEA College Prep South 2,10103,2024,26,25,25,31,25,4
South Region,IDEA College Prep South 2,10104,2024,16,16,17,17,18,5
South Region,IDEA College Prep South 2,10105,2024,17,14,16,20,18,5
South Region,IDEA College Prep South 2,10106,2024,20,22,22,22,21,6
South Region,IDEA College Prep South 2,10107,2024,16,16,16,17,18,5
South Region,IDEA College Prep South 2,10108,2024,19,18,16,25,19,5
South Region,IDEA College Prep South 2,10109,2024,19,16,18,21,22,5
South Region,IDEA College Prep South 2,10110,2024,22,21,21,22,23,5
South Region,IDEA College Prep South 2,10111,2024,16,14,15,23,18,5
South Region,IDEA College Prep South 2,10112,2024,20,23,19,24,19,6
South Region,IDEA College Prep South 2,10113,2024,17,19,17,16,19,5
South Region,IDEA College Prep South 2,10114,2024,16,15,15,23,19,6
South Region,IDEA College Prep South 2,10115,2024,14,14,15,14,17,6
South Region,IDEA College Prep South 2,10116,2024,16,15,15,20,14,5
South Region,IDEA College Prep South 2,10117,2024,16,15,17,17,17,5
South Region,IDEA College Prep South 2,10118,2024,22,22,21,23,23,5
South Region,IDEA College Prep South 2,10119,2024,18,22,16,22,19,6
South Region,IDEA College Prep South 2,10120,2024,13,11,14,12,14,2
South Region,IDEA College Prep South 2,10121,2024,27,33,25,31,25,5
South Region,IDEA College Prep South 2,10122,2024,16,15,17,16,19,5
South Region,IDEA College Prep South 2,10123,2024,31,30,33,36,34,7
South Region,IDEA College Prep South 2,10124,2024,21,21,17,25,21,6
South Region,IDEA College Prep South 2,10125,2024,23,26,24,22,23,5
South Region,IDEA College Prep South 2,10126,2024,17,17,20,14,18,5
South Region,IDEA College Prep South 2,10127,2024,26,24,24,30,28,5
South Region,IDEA College Prep South 3,10128,2024,14,16,15,16,15,7
